Zone,Type,Delivery Interval,Dollars per MW
Quebec P33C,10N,2019-04-13 09:40:00,0.45
Quebec P33C,30R,2019-04-13 09:40:00,0.45
Quebec P33C,Energy,2019-04-13 09:45:00,-0.1
Quebec P33C,10N,2019-04-13 09:45:00,0.45
Quebec P33C,30R,2019-04-13 09:45:00,0.45
Quebec P33C,Energy,2019-04-13 09:50:00,-0.1
Quebec P33C,10N,2019-04-13 09:50:00,0.45
Quebec P33C,30R,2019-04-13 09:50:00,0.45
Quebec P33C,Energy,2019-04-13 09:55:00,-0.1
Quebec P33C,10N,2019-04-13 09:55:00,0.45
Quebec P33C,30R,2019-04-13 09:55:00,0.45
Quebec P33C,Energy,2019-04-13 09:60:00,-0.13
Quebec P33C,10N,2019-04-13 09:60:00,0.45
Quebec P33C,30R,2019-04-13 09:60:00,0.45
Quebec Q4C,Energy,2019-04-13 09:05:00,0
Quebec Q4C,10N,2019-04-13 09:05:00,0.45
Quebec Q4C,30R,2019-04-13 09:05:00,0.45
Quebec Q4C,Energy,2019-04-13 09:10:00,0
Quebec Q4C,10N,2019-04-13 09:10:00,0.45
Quebec Q4C,30R,2019-04-13 09:10:00,0.45
Quebec Q4C,Energy,2019-04-13 09:15:00,0
Quebec Q4C,10N,2019-04-13 09:15:00,0.45
Quebec Q4C,30R,2019-04-13 09:15:00,0.45
Quebec Q4C,Energy,2019-04-13 09:20:00,-0.02
Quebec Q4C,10N,2019-04-13 09:20:00,0.45
Quebec Q4C,30R,2019-04-13 09:20:00,0.45
Quebec Q4C,Energy,2019-04-13 09:25:00,-0.02
Quebec Q4C,10N,2019-04-13 09:25:00,0.45
Quebec Q4C,30R,2019-04-13 09:25:00,0.45
Quebec Q4C,Energy,2019-04-13 09:30:00,-0.1
Quebec Q4C,10N,2019-04-13 09:30:00,0.45
Quebec Q4C,30R,2019-04-13 09:30:00,0.45
Quebec Q4C,Energy,2019-04-13 09:35:00,-0.02
Quebec Q4C,10N,2019-04-13 09:35:00,0.45
Quebec Q4C,30R,2019-04-13 09:35:00,0.45
Quebec Q4C,Energy,2019-04-13 09:40:00,-0.1
Quebec Q4C,10N,2019-04-13 09:40:00,0.45
Quebec Q4C,30R,2019-04-13 09:40:00,0.45
Quebec Q4C,Energy,2019-04-13 09:45:00,-0.1
Quebec Q4C,10N,2019-04-13 09:45:00,0.45
Quebec Q4C,30R,2019-04-13 09:45:00,0.45
Quebec Q4C,Energy,2019-04-13 09:50:00,-0.1
Quebec Q4C,10N,2019-04-13 09:50:00,0.45
Quebec Q4C,30R,2019-04-13 09:50:00,0.45
Quebec Q4C,Energy,2019-04-13 09:55:00,-0.1
Quebec Q4C,10N,2019-04-13 09:55:00,0.45
Quebec Q4C,30R,2019-04-13 09:55:00,0.45
Quebec Q4C,Energy,2019-04-13 09:60:00,-0.13
Quebec Q4C,10N,2019-04-13 09:60:00,0.45
Quebec Q4C,30R,2019-04-13 09:60:00,0.45
